"gene","p_value","statistic"
"ENSG00000090889",1.45806573383064e-16,76.8442359868031
"ENSG00000117650",1.48129629147662e-11,53.4343386525558
"ENSG00000183856",2.41888838958272e-10,47.7399212237508
"ENSG00000163815",3.4644043073385e-10,47.0065914129483
"ENSG00000127564",6.75404484190325e-09,40.933805191366
"ENSG00000123500",1.46441412193248e-06,29.8774966332611
"ENSG00000203805",2.4642956868887e-05,24.0282560624236
"ENSG00000099953",3.18888158097033e-05,23.4918464450559
"ENSG00000230838",3.23010696775872e-05,23.4651038911485
"ENSG00000079308",5.34407013723414e-05,22.4159645570608
"ENSG00000105974",0.00585478150780545,12.4992219434778
"ENSG00000095637",0.00749834369772326,11.9666319841335
"ENSG00000060718",0.0268799326710785,9.189067707992
"ENSG00000133800",0.0411473130005488,8.24841094981355
"ENSG00000169418",0.049074799928827,7.85639133257167
