"Module","Gene","MM"
"grey","ENSG00000119866",0.835828927402793
"grey","ENSG00000148468",0.812897834627508
"grey","ENSG00000144681",0.799444811645049
"grey","ENSG00000182175",0.796509150709605
"grey","ENSG00000073464",0.786000613251641
"grey","ENSG00000186832",0.777334896912237
"grey","ENSG00000164237",-0.775580938579188
"grey","ENSG00000171604",-0.762539938935323
"grey","ENSG00000094755",0.762393091557234
"grey","ENSG00000281406",0.761114129008475
"grey","ENSG00000101871",0.760090320519038
"grey","ENSG00000114547",0.759639233722655
"grey","ENSG00000158186",0.755580850318475
"grey","ENSG00000105926",0.754043957185481
"grey","ENSG00000228639",0.749348739243113
"grey","ENSG00000111728",0.745695329188724
"grey","ENSG00000184384",0.745311383133372
"grey","ENSG00000122863",0.744116066889062
"grey","ENSG00000228649",0.7434615465119
"grey","ENSG00000268104",0.736825357227247
"turquoise","ENSG00000115163",-0.888718356559422
"turquoise","ENSG00000142945",-0.852040472049356
"turquoise","ENSG00000134690",-0.851410345653817
"turquoise","ENSG00000065328",-0.850282886870726
"turquoise","ENSG00000117399",-0.844562705947876
"turquoise","ENSG00000085840",-0.837292455918055
"turquoise","ENSG00000157456",-0.830762503133723
"turquoise","ENSG00000165304",-0.829702816756177
"turquoise","ENSG00000164045",-0.829069436022478
"turquoise","ENSG00000105173",-0.828649035286146
"turquoise","ENSG00000112742",-0.827560760274115
"turquoise","ENSG00000138180",-0.824452988374184
"turquoise","ENSG00000178999",-0.82392299974193
"turquoise","ENSG00000080986",-0.823774746896645
"turquoise","ENSG00000115648",0.823604992535311
"turquoise","ENSG00000123485",-0.823254361443331
"turquoise","ENSG00000088325",-0.823195420198644
"turquoise","ENSG00000140534",-0.822754273691523
"turquoise","ENSG00000166851",-0.821446391387948
"turquoise","ENSG00000091651",-0.820194186609712
"blue","ENSG00000167208",0.959144799636664
"blue","ENSG00000143851",0.9530850713885
"blue","ENSG00000122122",0.951658167323955
"blue","ENSG00000143119",0.942843006121832
"blue","ENSG00000117091",0.941751373176729
"blue","ENSG00000110324",0.935275987105456
"blue","ENSG00000096996",0.933139842093182
"blue","ENSG00000185811",0.932139214345118
"blue","ENSG00000163219",0.930694181388395
"blue","ENSG00000160791",0.929365943112169
"blue","ENSG00000123329",0.92917223482607
"blue","ENSG00000117090",0.92771870125214
"blue","ENSG00000116824",0.923583999347202
"blue","ENSG00000160654",0.92264894060586
"blue","ENSG00000115956",0.92239184954648
"blue","ENSG00000162739",0.921137010199911
"blue","ENSG00000160185",0.920437935683282
"blue","ENSG00000197471",0.920239255134507
"blue","ENSG00000043462",0.918994764849121
"blue","ENSG00000110934",0.918000709104588
